CNEOS Event #1,Bolide event date,Bolide event time in UTC,Bolide Latitude [deg],Bolide Longitude [deg],Bolide Altitude [km],UTC Year,UTC Month,UTC Day,UTC Hour,UTC Minute,UTC Second,Velocity [km/s],Velocity x [km/s],Velocity y [km/s],Velocity z [km/s],Total radiated energy [J],Total impact energy [kt],RA (radiant),DEC (radiant),Azimuth [deg],Entry Angle [deg]
913,7-Feb-22,20:06:25,-28.7,11.4,26.5,2022,2,7,20,6,25,13.1,-8.9,-7.3,-6.3,3.48E+12,7,118.6051667,28.69228577,27.40644743,26.68373215
830,28-Nov-19,20:30:53,35.7,-31.7,35,2019,11,28,20,30,53,24.7,-11.6,-2.5,-5.4,29900000000,0.1,27.08027745,24.46879837,94.22580319,50.77171346
791,18-Dec-18,23:48:18,56.9,172.4,26,2018,12,18,23,48,18,13.6,6.3,-3,-31.2,3.13E+13,49,238.9077786,77.39336136,349.4334709,68.58671416
670,14-Jun-15,3:03:06,6.3,124.1,32.4,2015,6,14,3,3,6,31.9,-4.7,-17.8,-26,70800000000,0.22,22.88719234,54.69849483,330.4972843,27.85373829
664,10-May-15,7:45:01,-46.3,-179.3,29.6,2015,5,10,7,45,1,12.2,11.2,0.9,4.7,1.42E+11,0.41,168.4482258,-22.69929042,8.927883539,66.18868513
379,14-Oct-06,18:10:49,49.4,-175,44.4,2006,10,14,18,10,49,23.9,4.9,23.4,-1,2.58E+11,0.7,193.9388979,2.395161684,101.3757176,12.70605556
