Time [s],Intensity [W/sr],Altitude [km],Latitude [deg],Longitude [deg]
-0.398,1850000000.0,35.437483054804524,-46.27711390840745,-179.29479830794992
-0.395,1790000000.0,35.4039984483716,-46.277245186851964,-179.29482813317966
-0.392,623000000.0,35.370513841938696,-46.27737646528872,-179.29485795855234
-0.385,108000000.0,35.29238309359523,-46.277682781610984,-179.29492755164432
-0.381,1520000000.0,35.24773695168468,-46.27785781949046,-179.2949673194748
-0.378,1200000000.0,35.214252345251765,-46.27798909789103,-179.29499714551437
-0.375,-549000000.0,35.18076773881885,-46.278120376283844,-179.29502697169687
-0.371,754000000.0,35.136121596908296,-46.27829541412885,-179.29506674016253
-0.368,380000000.0,35.10263699047539,-46.27842669250356,-179.2950965666785
-0.365,1760000000.0,35.069152384042475,-46.27855797087051,-179.2951263933374
-0.361,2060000000.0,35.02450624213192,-46.27873300868105,-179.29516616243825
-0.358,1520000000.0,34.99102163569901,-46.27886428702992,-179.29519598943065
-0.354,456000000.0,34.94637549378846,-46.27903932481632,-179.29523575897613
-0.351,1570000000.0,34.91289088735555,-46.279170603147094,-179.295265586302
-0.348,910000000.0,34.87940628092263,-46.27930188147009,-179.2952954137708
-0.344,860000000.0,34.83476013901208,-46.27947691922203,-179.29533518395152
-0.341,1230000000.0,34.80127553257917,-46.27960819752693,-179.2953650117538
-0.337,208000000.0,34.75662939066862,-46.27978323525475,-179.29540478237922
-0.334,-261000000.0,34.72314478423571,-46.27991451354155,-179.29543461051503
-0.331,387000000.0,34.68966017780279,-46.280045791820605,-179.29546443879377
-0.327,-557000000.0,34.645014035892245,-46.28022082951395,-179.29550421005442
-0.321,1720000000.0,34.57804482302642,-46.280483386028095,-179.2955638674219
-0.317,430000000.0,34.53339868111587,-46.28065842368696,-179.29560363931785
-0.314,136000000.0,34.49991407468295,-46.28078970192206,-179.29563346840655
-0.31,1040000000.0,34.4552679327724,-46.28096473955679,-179.29567324074722
-0.304,324000000.0,34.38829871990657,-46.28122729598301,-179.29573289973467
-0.3,685000000.0,34.34365257799602,-46.28140233358327,-179.29577267271065
-0.297,692000000.0,34.31016797156311,-46.28153361177441,-179.29580250260943
-0.294,883000000.0,34.276683365130204,-46.281664889957796,-179.29583233265114
-0.29,-288000000.0,34.23203722321965,-46.28183992752356,-179.29587210626246
-0.287,742000000.0,34.198552616786735,-46.28197120568885,-179.29590193663773
-0.284,-40000000.0,34.16506801035382,-46.28210248384637,-179.29593176715593
-0.28,-604000000.0,34.12042186844327,-46.28227752137767,-179.2959715414026
-0.277,3860000.0,34.08693726201035,-46.2824087995171,-179.29600137225438
-0.273,-1380000000.0,34.042291120099804,-46.282583837024255,-179.29604114694584
-0.27,-94500000.0,34.0088065136669,-46.28271511514557,-179.29607097813118
-0.267,-240000000.0,33.975321907233976,-46.282846393259135,-179.29610080945952
-0.263,1020000000.0,33.93067576532343,-46.283021430731814,-179.29614058478634
-0.26,1980000000.0,33.897191158890514,-46.283152708827274,-179.29617041644826
-0.257,-446000000.0,33.8637065524576,-46.283283986914974,-179.29620024825314
-0.253,405000000.0,33.81906041054705,-46.28345902435317,-179.2962400242154
-0.25,1130000000.0,33.78557580411414,-46.28359030242277,-179.29626985635386
-0.246,2070000000.0,33.74092966220359,-46.28376533983683,-179.2963096327609
-0.243,-930000000.0,33.70744505577067,-46.28389661788834,-179.29633946523296
-0.24,900000000.0,33.67396044933776,-46.28402789593206,-179.296369297848
-0.236,2210000000.0,33.62931430742721,-46.28420293331164,-179.2964090748905
-0.229,-1160000000.0,33.551183559083746,-46.284509248692714,-179.29647868532646
-0.226,1770000000.0,33.51769895265083,-46.284640526700244,-179.29650851860876
-0.223,2970000000.0,33.484214346217925,-46.2847718047,-179.29653835203402
-0.219,61200000.0,33.43956820430737,-46.284946842020965,-179.2965781301568
-0.216,-148000000.0,33.406083597874456,-46.28507812000262,-179.2966079639157
-0.213,717000000.0,33.37259899144154,-46.28520939797652,-179.2966377978176
-0.209,-8200000.0,33.327952849530995,-46.285384435263,-179.29667757657586
-0.206,452000000.0,33.29446824309807,-46.2855157132188,-179.2967074108114
-0.203,-941000000.0,33.260983636665166,-46.285646991166836,-179.29673724518992
-0.199,-76100000.0,33.21633749475462,-46.28582202841881,-179.2967770245837
-0.196,478000000.0,33.1828528883217,-46.285953306348745,-179.29680685929586
-0.189,-413000000.0,33.104722139978236,-46.286259621488405,-179.29687647418038
-0.186,-604000000.0,33.07123753354533,-46.28639089939248,-179.2969063093692
-0.182,182000000.0,33.02659139163478,-46.28656593658582,-179.29694608984343
-0.179,-72700000.0,32.99310678520186,-46.28669721447178,-179.2969759253659
-0.176,-609000000.0,32.95962217876895,-46.28682849234998,-179.29700576103141
-0.172,1040000000.0,32.9149760368584,-46.287003529508844,-179.2970455421412
-0.169,419000000.0,32.881491430425484,-46.28713480736893,-179.29707537814036
