Time [s],Intensity [W/sr],Altitude [km],Latitude [deg],Longitude [deg]
-1.097,-150000000.0,53.71502910428835,49.32536788858578,-174.44113538366693
-1.093,3040000000.0,53.69400195055406,49.325539389326885,-174.44239500907176
-1.09,4660000000.0,53.67823158525335,49.32566800589947,-174.4433397338837
-1.087,2590000000.0,53.66246121995263,49.32579661477207,-174.44428446363108
-1.083,5510000000.0,53.641434066218345,49.32596808129094,-174.4455441109711
-1.08,5850000000.0,53.625663700917634,49.326096672196584,-174.4464888522335
-1.077,1790000000.0,53.60989333561692,49.32622525540198,-174.44743359843045
-1.073,1310000000.0,53.588866181882636,49.32639668769754,-174.44869326770205
-1.07,3020000000.0,53.57309581658192,49.32652525293538,-174.44963802541216
-1.067,-734000000.0,53.55732545128121,49.32665381047275,-174.450582788056
-1.063,-196000000.0,53.53629829754692,49.326825208543866,-174.4518424792555
-1.06,-1840000000.0,53.52052793224621,49.3269537481131,-174.45278725341052
-1.056,2130000000.0,53.49950077851192,49.32712512222646,-174.45404695995734
-1.053,1620000000.0,53.483730413211205,49.32725364382716,-174.4549917456222
-1.05,2430000000.0,53.467960047910495,49.32738215772694,-174.45593653621944
-1.046,-8570000.0,53.44693289417621,49.32755349761398,-174.45719626468792
-1.043,165000000.0,53.4311625288755,49.32768199354464,-174.45814106679308
-1.04,-1940000000.0,53.415392163574786,49.32781048177413,-174.45908587382974
-1.036,-1920000000.0,53.3943650098405,49.327981787433714,-174.4603456242162
-1.033,-2400000000.0,53.37859464453979,49.3281102576935,-174.4612904427589
-1.029,116000000.0,53.35756749080549,49.3282815393932,-174.46255020848574
-1.026,-2690000000.0,53.34179712550478,49.32840999168289,-174.46349503853304
-1.023,-4430000000.0,53.32602676020407,49.328538436270975,-174.46443987351049
-1.016,1870000000.0,53.289229241169075,49.32883811035874,-174.46664450762927
-1.012,-232000000.0,53.26820208743478,49.329009333867916,-174.46790431060393
-1.009,551000000.0,53.25243172213407,49.3291377425142,-174.46884916858548
-1.002,-1050000000.0,53.21563420309907,49.32943733273642,-174.4710538563759
-0.999,3560000000.0,53.19986383779836,49.329565715709,-174.47199873078563
-0.996,3060000000.0,53.184093472497636,49.329694090979295,-174.47294361012322
-0.992,-1590000000.0,53.16306631876336,49.32986524602491,-174.47420345690526
-0.989,2630000000.0,53.147295953462645,49.32999360332293,-174.47514834774037
-0.985,3630000000.0,53.12626879972836,49.330164734405265,-174.47640820985154
-0.982,1940000000.0,53.11049843442765,49.3302930737306,-174.4773531121828
-0.979,4490000000.0,53.09472806912693,49.33042140535326,-174.47829801944062
-0.975,1500000000.0,53.07370091539265,49.33059250220134,-174.4795579034474
-0.972,1170000000.0,53.05793055009193,49.330720815850725,-174.4805028221994
