Time [s],Intensity [W/sr],Altitude [km],Latitude [deg],Longitude [deg]
-0.699,-726000000.0,34.88292700602702,-28.566811530116613,11.478616260888089
-0.695,-472000000.0,34.85939598285221,-28.567185455902063,11.478395862595875
-0.692,-815000000.0,34.8417477154711,-28.56746590000749,11.478230562848836
-0.689,-56000000.0,34.824099448089996,-28.56774634391263,11.478065262220696
-0.685,-2550000000.0,34.800568424915184,-28.568120268807924,11.477844860012624
-0.682,-214000000.0,34.78292015753407,-28.568400712245722,11.477679557328628
-0.678,629000000.0,34.75938913435925,-28.56877463651788,11.477459152379339
-0.675,-60600000.0,34.74174086697815,-28.569055079488315,11.477293847639373
-0.672,339000000.0,34.724092599597036,-28.569335522258445,11.47712854201825
-0.668,244000000.0,34.70056157642223,-28.569709445640363,11.476908133152733
-0.665,-510000000.0,34.68291330904112,-28.569989887943102,11.476742825475554
-0.662,-53400000.0,34.66526504166001,-28.570270330045524,11.47657751691716
-0.658,-84000000.0,34.641734018485195,-28.57064425253715,11.476357104135218
-0.655,805000000.0,34.62408575110409,-28.570924694172163,11.476191793520627
-0.651,344000000.0,34.60055472792927,-28.571298616040554,11.475971377997041
-0.648,409000000.0,34.58290646054816,-28.57157905720813,11.475806065326225
-0.645,-856000000.0,34.565258193167054,-28.57185949817537,11.475640751774108
-0.641,337000000.0,34.54172716999224,-28.572233419153388,11.475420332333726
-0.638,3300000000.0,34.52407890261113,-28.572513859653167,11.475255016725242
-0.635,1530000000.0,34.50643063523002,-28.5727942999526,11.47508970023543
-0.631,1560000000.0,34.48289961205521,-28.573168220040188,11.474869276878053
-0.628,926000000.0,34.4652513446741,-28.573448659872135,11.474703958331759
-0.624,1460000000.0,34.44172032149929,-28.5738225793364,11.474483532232313
-0.621,-1000000000.0,34.42407205411818,-28.574103018700836,11.474318211629452
-0.618,1110000000.0,34.406423786737065,-28.57438345786491,11.474152890145206
-0.611,-54200000.0,34.36524449618115,-28.575037815135204,11.473767136587469
-0.608,335000000.0,34.347596228800036,-28.575318253631366,11.473601812165072
-0.604,-30100000.0,34.324065205625224,-28.575692171314554,11.47338137823067
-0.601,-759000000.0,34.30641693824412,-28.575972609343165,11.473216051751507
-0.594,1240000000.0,34.26523764768819,-28.576626963963953,11.472830286538652
-0.591,1080000000.0,34.247589380307076,-28.576907401324586,11.472664957121054
-0.587,337000000.0,34.22405835713227,-28.577281317493703,11.47244451652631
-0.584,967000000.0,34.20641008975116,-28.57756175438673,11.472279185051747
-0.581,360000000.0,34.18876182237005,-28.577842191079355,11.4721138526956
-0.57,881000000.0,34.12405150863931,-28.578870457237656,11.471507626513699
-0.567,4020000000.0,34.10640324125821,-28.579150892995003,11.47134229004331
-0.564,1230000000.0,34.088754973877094,-28.57943132855192,11.471176952691224
-0.56,1320000000.0,34.06522395070228,-28.579805242316027,11.47095650151698
-0.554,2280000000.0,34.029927415940065,-28.580366112294076,11.470625821816583
-0.55,117000000.0,34.006396392765254,-28.58074002516735,11.470405366723583
-0.547,448000000.0,33.98874812538415,-28.581020459588455,11.47024002437513
-0.543,1470000000.0,33.96521710220933,-28.581394371838115,11.470019566538895
-0.54,614000000.0,33.94756883482822,-28.581674805791494,11.469854222132994
-0.537,1580000000.0,33.929920567447105,-28.581955239544417,11.469688876845282
-0.53,424000000.0,33.88874127689119,-28.58260958418834,11.469303067744676
-0.527,1690000000.0,33.871093009510076,-28.582890017273048,11.469137719517533
-0.523,614000000.0,33.84756198633527,-28.58326392774082,11.468917253842932
-0.52,2700000000.0,33.82991371895416,-28.583544360357756,11.468751903558086
-0.516,341000000.0,33.80638269577934,-28.583918270201814,11.468531435139852
-0.513,-1300000000.0,33.788734428398236,-28.58419870235096,11.468366082797246
-0.51,1550000000.0,33.771086161017124,-28.584479134299613,11.468200729572743
-0.506,162000000.0,33.74755513784231,-28.58485304325261,11.467980257234814
-0.503,1810000000.0,33.7299068704612,-28.585133474733453,11.467814901952408
-0.5,102000000.0,33.712258603080095,-28.585413906013795,11.46764954578805
-0.496,2630000000.0,33.68872757990528,-28.585787814075687,11.467429069530255
-0.493,158000000.0,33.67107931252417,-28.586068244888185,11.46726371130788
-0.489,2150000000.0,33.64754828934936,-28.58644215232627,11.467043232306054
-0.486,642000000.0,33.62990002196825,-28.586722582670898,11.466877872025606
-0.483,-334000000.0,33.612251754587135,-28.58700301281501,11.466712510863147
-0.479,462000000.0,33.58872073141233,-28.58737691936191,11.466492027941058
-0.476,1960000000.0,33.57107246403122,-28.587657349038132,11.466326664720384
-0.473,383000000.0,33.553424196650106,-28.587937778513826,11.466161300617642
-0.469,168000000.0,33.529893173475294,-28.588311684169476,11.465940813775092
-0.466,582000000.0,33.51224490609419,-28.588592113177256,11.46577544761405
-0.462,298000000.0,33.48871388291937,-28.588966018209003,11.46555495802707
-0.459,-576000000.0,33.47106561553826,-28.58924644674885,11.465389589807643
-0.452,465000000.0,33.42988632498234,-28.589900779228564,11.465003727198251
-0.446,-764000000.0,33.394589790220124,-28.59046163477067,11.464672983995825
-0.442,1320000000.0,33.37105876704531,-28.590835538019707,11.464452486567012
-0.439,2060000000.0,33.3534104996642,-28.591115965222492,11.464287112466081
-0.435,31300000.0,33.32987947648939,-28.591489867847535,11.464066612292442
-0.432,147000000.0,33.312231209108276,-28.591770294582318,11.463901236132841
-0.429,1680000000.0,33.294582941727164,-28.59205072111651,11.463735859090946
-0.425,1640000000.0,33.27105191855236,-28.592424622850093,11.463515354995906
-0.422,2730000000.0,33.25340365117125,-28.592705048916255,11.463349975895227
-0.415,851000000.0,33.21222436061532,-28.593359375623894,11.462964087895529
-0.412,1120000000.0,33.19457609323422,-28.593639801021407,11.4627987058536
-0.408,-413000000.0,33.1710450700594,-28.59401370123938,11.462578195091709
-0.405,61500000.0,33.15339680267829,-28.594294126168815,11.46241281099077
-0.402,1460000000.0,33.13574853529718,-28.594574550897647,11.462247426007423
-0.398,1630000000.0,33.11221751212237,-28.59494845022401,11.46202691132359
-0.395,226000000.0,33.09456924474126,-28.595228874484736,11.461861524281147
-0.392,-672000000.0,33.076920977360146,-28.595509298544833,11.46169613635621
-0.388,74100000.0,33.05338995418534,-28.595883196979553,11.461475617750182
-0.385,1660000000.0,33.03574168680423,-28.596163620571517,11.461310227766063
-0.381,-578000000.0,33.01221066362942,-28.59653751838205,11.461089706414384
-0.378,226000000.0,32.994562396248305,-28.596817941505872,11.46092431437097
-0.375,-193000000.0,32.97691412886719,-28.59709836442905,11.460758921445006
