Time [s],Intensity [W/sr],Altitude [km],Latitude [deg],Longitude [deg]
-0.25,425000000.0,44.47239661437253,6.478802776905806,123.99817128458807
-0.246,30300000.0,44.41277984096821,6.477919849639421,123.99867431813334
-0.243,-298000000.0,44.368067260914984,6.477257653864731,123.99905159213705
-0.24,1080000000.0,44.323354680861755,6.476595457811589,123.99942886515066
-0.236,282000000.0,44.26373790745744,6.475712529307636,123.99993189429551
-0.233,1760000000.0,44.21902532740421,6.4750503326048845,124.00030916499935
-0.229,2500000000.0,44.1594085539999,6.47416740323489,124.00081219106488
-0.226,1440000000.0,44.11469597394667,6.47350520588269,124.00118945945945
-0.223,755000000.0,44.06998339389344,6.472843008252203,124.00156672686455
-0.219,502000000.0,44.01036662048913,6.471960077645383,124.00206974853234
-0.216,616000000.0,43.96565404043589,6.471297879365676,124.00244701362897
-0.213,179000000.0,43.920941460382664,6.470635680807781,124.00282427773647
-0.209,1160000000.0,43.86132468697836,6.469752748964569,124.00332729500798
-0.206,1800000000.0,43.81661210692512,6.469090549757683,124.00370455680786
-0.202,-72100000.0,43.75699533352082,6.4682076170492575,124.00420757100295
-0.199,-111000000.0,43.71228275346759,6.4675454171935405,124.00458483049579
-0.196,1180000000.0,43.667570173414354,6.466883217059802,124.00496208900006
-0.192,-569000000.0,43.60795340001005,6.4660002831157275,124.00546509880155
-0.189,1880000000.0,43.56324081995682,6.465338082333386,124.00584235499963
-0.186,1460000000.0,43.51852823990358,6.464675881273124,124.00621961020948
-0.182,-102000000.0,43.45891146649927,6.463792946093833,124.00672261561886
-0.179,-832000000.0,43.414198886446044,6.463130744385199,124.00709986852331
-0.175,593000000.0,43.35458211304173,6.462247808341517,124.00760287085922
-0.172,368000000.0,43.3098695329885,6.461585605984669,124.00798012145879
-0.169,-650000000.0,43.26515695293527,6.460923403350065,124.0083573710707
-0.165,-1290000000.0,43.205540179530956,6.460040466071912,124.00886036901716
-0.162,1970000000.0,43.16082759947773,6.459378262789324,124.0092376163251
-0.159,2010000000.0,43.1161150194245,6.4587160592290775,124.00961486264572
-0.155,1640000000.0,43.05649824602018,6.457833120716888,124.01011785620426
-0.148,-1520000000.0,42.95216889256265,6.4562879771331305,124.01099809070968
-0.145,-59600000.0,42.90745631250941,6.455625772277535,124.0113753324244
-0.142,-1270000000.0,42.86274373245619,6.454963567144449,124.01175257315242
-0.138,1230000000.0,42.80312695905188,6.454080626535397,124.0122555592551
-0.135,2070000000.0,42.75841437899865,6.453418420754946,124.0126327976813
-0.132,1470000000.0,42.713701798945415,6.4527562146971,124.01301003512117
-0.128,776000000.0,42.65408502554111,6.451873272855189,124.0135130168402
-0.125,531000000.0,42.60937244548788,6.451211066150206,124.01389025197898
-0.121,378000000.0,42.54975567208356,6.450328123445556,124.01439323063028
-0.118,1080000000.0,42.505043092030334,6.449665916093597,124.01477046346861
-0.115,-623000000.0,42.460330511977105,6.449003708464412,124.01514769532116
-0.111,-841000000.0,42.40071373857279,6.4481207645276415,124.01565066959142
-0.108,1610000000.0,42.35600115851956,6.447458556251709,124.01602789914432
-0.105,1180000000.0,42.31128857846633,6.446796347698648,124.01640512771183
-0.101,-594000000.0,42.25167180506202,6.445913402530196,124.01690809760248
-0.098,-1840000000.0,42.20695922500879,6.445251193330616,124.01728532387119
-0.094,-389000000.0,42.14734245160447,6.444368247300246,124.01778829069707
-0.091,284000000.0,42.10262987155125,6.443706037454309,124.01816551466743
-0.088,-2090000000.0,42.057917291498015,6.443043827331408,124.01854273765298
-0.084,3060000000.0,41.998300518093714,6.442160880070098,124.01904570010197
-0.081,1780000000.0,41.95358793804048,6.441498669301069,124.01942292079008
-0.078,-1440000000.0,41.90887535798724,6.440836458255177,124.01980014049371
-0.074,-546000000.0,41.84925858458294,6.43995350976336,124.0203030985673
-0.071,-475000000.0,41.804546004529705,6.439291298071567,124.02068031597429
-0.067,1380000000.0,41.7449292311254,6.438408348718657,124.02118327098606
-0.064,-748000000.0,41.70021665107217,6.437746136381125,124.02156048609692
-0.061,163000000.0,41.65550407101893,6.4370839237668935,124.02193770022387
-0.057,5990000.0,41.595887297614624,6.43620097318422,124.0224406508629
-0.054,456000000.0,41.551174717561395,6.435538759924478,124.02281786269458
-0.051,-490000000.0,41.506462137508166,6.4348765463881366,124.02319507354275
-0.047,2990000000.0,41.44684536410385,6.433993594576136,124.02369801981058
-0.044,3970000000.0,41.40213278405062,6.433331380394513,124.02407522836427
-0.04,145000000.0,41.342516010646314,6.432448427722242,124.02457817157313
-0.034,2010000000.0,41.253090850539856,6.431123997792318,124.02533258310973
-0.03,2510000000.0,41.19347407713554,6.430241043891459,124.02583552195006
-0.027,4390000000.0,41.14876149708231,6.429578828143387,124.02621272493377
-0.024,3610000000.0,41.10404891702908,6.428916612118982,124.02658992693495
-0.02,1440000000.0,41.04443214362477,6.428033656989973,124.02709286140816
-0.017,4060000000.0,40.99971956357154,6.427371440320902,124.02747006111707
-0.013,5620000000.0,40.94010279016723,6.426488484332446,124.02797299253433
-0.01,7670000000.0,40.895390210113995,6.425826267018873,124.02835018995148
-0.007,9170000000.0,40.850677630060765,6.425164049429129,124.0287273863866
-0.003,8090000000.0,40.79106085665646,6.424281092213264,124.02923031343943
0.0,7440000000.0,40.74634827660322,6.423618873979246,124.0296075075837
0.003,8030000000.0,40.70163569654999,6.422956655469158,124.0299847007463
0.007,11400000000.0,40.642018923145685,6.4220736970263195,124.03048762343622
0.01,11000000000.0,40.597306343092455,6.4214114778721845,124.0308648143087
0.014,11600000000.0,40.53768956968815,6.420528518570722,124.03136773394556
0.017,11400000000.0,40.49297698963492,6.419866298772702,124.03174492252856
0.02,12700000000.0,40.44826440958168,6.419204078698779,124.03212211013044
0.024,10800000000.0,40.388647636177375,6.418321118171082,124.03262502540707
0.027,10600000000.0,40.343935056124145,6.417658897453501,124.03300221072021
0.03,9610000000.0,40.29922247607091,6.416996676460115,124.03337939505269
0.034,8170000000.0,40.2396057026666,6.416113714706621,124.03388230597056
0.037,9210000000.0,40.19489312261337,6.415451493069807,124.03425948801515
0.041,6100000000.0,40.13527634920906,6.4145685304585145,124.03476239588286
0.044,6450000000.0,40.09056376915583,6.413906308178429,124.03513957564007
0.047,6350000000.0,40.0458511891026,6.413244085622708,124.03551675441713
0.051,8270000000.0,39.986234415698284,6.41236112178636,124.03601965792882
0.054,7470000000.0,39.941521835645055,6.411698898587597,124.03639683441935
0.057,9710000000.0,39.896809255591826,6.411036675113294,124.03677400993013
0.061,6980000000.0,39.83719248218751,6.410153710052326,124.03727690908727
0.068,8240000000.0,39.73286312872998,6.4086085200172676,124.0381569784222
0.071,6540000000.0,39.688150548676745,6.407946295257502,124.03853414936202
0.074,5980000000.0,39.64343796862351,6.407284070222364,124.03891131932272
0.078,4490000000.0,39.58382119521921,6.4064011030805394,124.03941421108067
0.081,4180000000.0,39.53910861516597,6.405738877402978,124.03979137875706
0.084,3130000000.0,39.494396035112736,6.405076651450142,124.04016854545455
0.088,3840000000.0,39.434779261708435,6.404193683084873,124.04067143286215
0.091,2500000000.0,39.390066681655206,6.403531456489844,124.04104859727613
0.095,5080000000.0,39.33044990825089,6.402648487268424,124.04155148163937
0.098,4470000000.0,39.28573732819766,6.40198626003136,124.04192864377035
0.101,3370000000.0,39.24102474814443,6.401324032519188,124.04230580492316
0.105,3850000000.0,39.18140797474012,6.400441062075062,124.04280868493862
0.108,3710000000.0,39.13669539468689,6.399778833921086,124.04318584380923
0.111,4330000000.0,39.09198281463366,6.399116605492099,124.04356300170195
0.115,3700000000.0,39.032366041229345,6.398233633825707,124.04406587737122
0.118,4450000000.0,38.987653461176116,6.397571404755143,124.0444430329826
0.122,988000000.0,38.92803668777181,6.396688432233422,124.04494590561046
0.125,2830000000.0,38.88332410771857,6.396026202521442,124.045323058941
0.128,2980000000.0,38.83861152766534,6.39536397253462,124.04570021129427
0.132,6030000000.0,38.77899475426104,6.394480998791371,124.04620307957856
0.135,3230000000.0,38.734282174207806,6.393818768163359,124.04658022965185
0.138,3560000000.0,38.68956959415457,6.3931565372606025,124.04695737874817
0.142,5640000000.0,38.62995282075027,6.392273562296264,124.04746024269048
0.145,3990000000.0,38.58524024069703,6.391611330752548,124.0478373895076
0.149,3030000000.0,38.525623467292725,6.390728354933703,124.04834025041134
0.152,675000000.0,38.480910887239496,6.390066122749189,124.0487173949499
0.155,3700000000.0,38.43619830718627,6.3894038902900965,124.04909453851212
0.159,4090000000.0,38.37658153378195,6.3885209132509,124.04959739507643
0.162,4590000000.0,38.33186895372872,6.387858680151238,124.04997453636088
0.165,2310000000.0,38.287156373675494,6.387196446777093,124.05035167666927
0.169,3610000000.0,38.22753960027118,6.386313468517982,124.05085452889574
0.172,2310000000.0,38.18282702021795,6.385651234503497,124.05123166692715
0.176,2340000000.0,38.12321024681364,6.3847682553907035,124.05173451611796
0.179,2250000000.0,38.078497666760406,6.384106020736036,124.05211165187302
0.186,4130000000.0,37.97416831330287,6.382560805475087,124.05299163150818
0.189,3170000000.0,37.92945573324963,6.381898569906154,124.05336876401213
0.192,4830000000.0,37.8847431531964,6.381236334063004,124.05374589554106
0.196,3540000000.0,37.825126379792096,6.380353352512297,124.05424873606296
0.199,1730000000.0,37.78041379973887,6.379691116029423,124.05462586531706
0.203,2240000000.0,37.72079702633456,6.378808133625856,124.05512870280631
0.206,3270000000.0,37.67608444628132,6.37814589650342,124.05550582978617
0.209,484000000.0,37.63137186622809,6.377483659106933,124.05588295579156
0.213,3850000000.0,37.571755092823786,6.376600675485367,124.05638578894968
