Time [s],Intensity [W/sr]
-0.25,425000000.0
-0.246,30300000.0
-0.243,-298000000.0
-0.24,1080000000.0
-0.236,282000000.0
-0.233,1760000000.0
-0.229,2500000000.0
-0.226,1440000000.0
-0.223,755000000.0
-0.219,502000000.0
-0.216,616000000.0
-0.213,179000000.0
-0.209,1160000000.0
-0.206,1800000000.0
-0.202,-72100000.0
-0.199,-111000000.0
-0.196,1180000000.0
-0.192,-569000000.0
-0.189,1880000000.0
-0.186,1460000000.0
-0.182,-102000000.0
-0.179,-832000000.0
-0.175,593000000.0
-0.172,368000000.0
-0.169,-650000000.0
-0.165,-1290000000.0
-0.162,1970000000.0
-0.159,2010000000.0
-0.155,1640000000.0
-0.148,-1520000000.0
-0.145,-59600000.0
-0.142,-1270000000.0
-0.138,1230000000.0
-0.135,2070000000.0
-0.132,1470000000.0
-0.128,776000000.0
-0.125,531000000.0
-0.121,378000000.0
-0.118,1080000000.0
-0.115,-623000000.0
-0.111,-841000000.0
-0.108,1610000000.0
-0.105,1180000000.0
-0.101,-594000000.0
-0.098,-1840000000.0
-0.094,-389000000.0
-0.091,284000000.0
-0.088,-2090000000.0
-0.084,3060000000.0
-0.081,1780000000.0
-0.078,-1440000000.0
-0.074,-546000000.0
-0.071,-475000000.0
-0.067,1380000000.0
-0.064,-748000000.0
-0.061,163000000.0
-0.057,5990000.0
-0.054,456000000.0
-0.051,-490000000.0
-0.047,2990000000.0
-0.044,3970000000.0
-0.04,145000000.0
-0.034,2010000000.0
-0.03,2510000000.0
-0.027,4390000000.0
-0.024,3610000000.0
-0.02,1440000000.0
-0.017,4060000000.0
-0.013,5620000000.0
-0.01,7670000000.0
-0.007,9170000000.0
-0.003,8090000000.0
0.0,7440000000.0
0.003,8030000000.0
0.007,11400000000.0
0.01,11000000000.0
0.014,11600000000.0
0.017,11400000000.0
0.02,12700000000.0
0.024,10800000000.0
0.027,10600000000.0
0.03,9610000000.0
0.034,8170000000.0
0.037,9210000000.0
0.041,6100000000.0
0.044,6450000000.0
0.047,6350000000.0
0.051,8270000000.0
0.054,7470000000.0
0.057,9710000000.0
0.061,6980000000.0
0.068,8240000000.0
0.071,6540000000.0
0.074,5980000000.0
0.078,4490000000.0
0.081,4180000000.0
0.084,3130000000.0
0.088,3840000000.0
0.091,2500000000.0
0.095,5080000000.0
0.098,4470000000.0
0.101,3370000000.0
0.105,3850000000.0
0.108,3710000000.0
0.111,4330000000.0
0.115,3700000000.0
0.118,4450000000.0
0.122,988000000.0
0.125,2830000000.0
0.128,2980000000.0
0.132,6030000000.0
0.135,3230000000.0
0.138,3560000000.0
0.142,5640000000.0
0.145,3990000000.0
0.149,3030000000.0
0.152,675000000.0
0.155,3700000000.0
0.159,4090000000.0
0.162,4590000000.0
0.165,2310000000.0
0.169,3610000000.0
0.172,2310000000.0
0.176,2340000000.0
0.179,2250000000.0
0.186,4130000000.0
0.189,3170000000.0
0.192,4830000000.0
0.196,3540000000.0
0.199,1730000000.0
0.203,2240000000.0
0.206,3270000000.0
0.209,484000000.0
0.213,3850000000.0
0.216,5440000000.0
0.219,5850000000.0
0.223,3820000000.0
0.226,4770000000.0
0.23,2280000000.0
0.233,4390000000.0
0.236,4780000000.0
0.24,3720000000.0
0.243,580000000.0
0.246,2460000000.0
0.25,2040000000.0
0.257,2450000000.0
0.26,2850000000.0
0.263,3480000000.0
0.267,1270000000.0
0.27,1450000000.0
0.273,4620000000.0
0.277,3890000000.0
0.28,3010000000.0
0.284,1460000000.0
0.29,1750000000.0
0.294,4300000000.0
0.297,3060000000.0
0.3,2170000000.0
0.304,3610000000.0
0.307,4330000000.0
0.311,631000000.0
0.314,1410000000.0
0.317,1970000000.0
0.321,326000000.0
0.324,2840000000.0
0.327,2980000000.0
0.331,2500000000.0
0.334,1480000000.0
0.338,4430000000.0
0.341,3540000000.0
0.344,-192000000.0
0.348,2280000000.0
0.351,4160000000.0
0.354,-242000000.0
0.358,789000000.0
0.361,2870000000.0
0.365,2700000000.0
0.368,749000000.0
0.371,2100000000.0
0.375,2320000000.0
0.378,2850000000.0
0.385,741000000.0
0.388,990000000.0
0.392,-23600000.0
0.395,-402000000.0
0.398,1660000000.0
0.405,1610000000.0
0.408,1770000000.0
0.412,1780000000.0
0.415,-238000000.0
0.419,686000000.0
0.422,801000000.0
0.425,-647000000.0
0.429,2010000000.0
0.432,1930000000.0
0.435,298000000.0
0.439,1020000000.0
0.442,209000000.0
0.446,464000000.0
0.449,2450000000.0
0.452,1130000000.0
0.456,2080000000.0
0.459,1570000000.0
0.466,2160000000.0
0.469,2950000000.0
0.473,5370000000.0
0.476,5060000000.0
0.479,5000000000.0
0.483,4720000000.0
0.489,6820000000.0
0.493,12200000000.0
0.496,18300000000.0
0.5,21000000000.0
0.503,17200000000.0
0.506,19700000000.0
0.51,15700000000.0
0.516,12700000000.0
0.52,12000000000.0
0.523,13900000000.0
0.527,14300000000.0
0.53,10700000000.0
0.533,11600000000.0
0.537,12700000000.0
0.543,17800000000.0
0.55,26700000000.0
0.554,29800000000.0
0.557,31100000000.0
0.56,35000000000.0
0.564,30700000000.0
0.57,18500000000.0
0.574,14100000000.0
0.577,13700000000.0
0.581,11500000000.0
0.584,10900000000.0
0.587,11100000000.0
0.591,10000000000.0
0.594,10400000000.0
0.597,8350000000.0
0.601,9930000000.0
0.604,8630000000.0
0.608,8390000000.0
0.611,8430000000.0
0.614,9110000000.0
0.618,8290000000.0
0.621,7010000000.0
0.624,8170000000.0
0.628,11800000000.0
0.631,8200000000.0
