Time [s],Intensity [W/sr]
-0.263,-519000000.0
-0.26,-117000000.0
-0.256,1750000000.0
-0.253,-1360000000.0
-0.25,514000000.0
-0.246,-611000000.0
-0.243,-43800000.0
-0.24,-397000000.0
-0.236,-977000000.0
-0.233,-925000000.0
-0.229,1620000000.0
-0.226,-1240000000.0
-0.223,307000000.0
-0.219,328000000.0
-0.216,44200000.0
-0.213,824000000.0
-0.209,2300000000.0
-0.206,194000000.0
-0.202,-261000000.0
-0.199,-523000000.0
-0.196,-1980000000.0
-0.192,-1170000000.0
-0.189,1240000000.0
-0.186,-787000000.0
-0.182,565000000.0
-0.179,164000000.0
-0.175,-1100000000.0
-0.172,775000000.0
-0.169,-64200000.0
-0.165,-391000000.0
-0.162,2000000000.0
-0.159,2740000000.0
-0.155,1010000000.0
-0.152,973000000.0
-0.148,-31500000.0
-0.145,243000.0
-0.142,-283000000.0
-0.138,-202000000.0
-0.135,1440000000.0
-0.132,1730000000.0
-0.128,-1800000000.0
-0.125,-710000000.0
-0.121,1310000000.0
-0.118,1340000000.0
-0.115,-183000000.0
-0.111,-339000000.0
-0.108,1300000000.0
-0.105,309000000.0
-0.101,105000000.0
-0.098,1070000000.0
-0.095,-665000000.0
-0.091,402000000.0
-0.088,-1350000000.0
-0.084,2280000000.0
-0.081,-4510000.0
-0.078,-767000000.0
-0.074,-353000000.0
-0.071,1480000000.0
-0.067,665000000.0
-0.064,-698000000.0
-0.061,765000000.0
-0.057,1850000000.0
-0.054,141000000.0
-0.051,639000000.0
-0.047,-389000000.0
-0.044,1160000000.0
-0.04,-732000000.0
-0.037,1990000000.0
-0.034,1420000000.0
-0.03,2190000000.0
-0.027,1970000000.0
-0.024,1020000000.0
-0.02,2150000000.0
-0.017,1880000000.0
-0.014,3840000000.0
-0.01,4020000000.0
-0.007,3750000000.0
-0.003,4010000000.0
-0.0,4730000000.0
0.003,3450000000.0
0.007,3440000000.0
0.014,5290000000.0
0.017,5250000000.0
0.02,4750000000.0
0.024,4880000000.0
0.027,3640000000.0
0.03,4960000000.0
0.034,5450000000.0
0.037,3930000000.0
0.041,3810000000.0
0.044,3880000000.0
0.047,2830000000.0
0.051,3520000000.0
0.054,2570000000.0
0.057,5410000000.0
0.061,3550000000.0
0.064,3080000000.0
0.067,4040000000.0
0.071,3730000000.0
0.078,4820000000.0
0.081,5070000000.0
0.084,5870000000.0
0.088,5510000000.0
0.091,4800000000.0
0.095,2210000000.0
0.098,2570000000.0
0.101,2380000000.0
0.105,2320000000.0
0.108,5460000000.0
0.111,4690000000.0
0.115,3010000000.0
0.118,4810000000.0
0.122,4360000000.0
0.125,4420000000.0
0.128,4280000000.0
0.132,4700000000.0
0.135,4150000000.0
0.138,8780000000.0
0.142,5380000000.0
0.145,4830000000.0
0.149,3090000000.0
0.152,3180000000.0
0.155,3340000000.0
0.159,3810000000.0
0.162,3350000000.0
0.165,5210000000.0
0.169,5350000000.0
0.172,4800000000.0
0.175,2650000000.0
0.179,2130000000.0
0.182,4350000000.0
0.186,3210000000.0
0.189,4290000000.0
0.192,5550000000.0
0.196,4130000000.0
0.199,4110000000.0
0.203,3450000000.0
0.206,5740000000.0
0.209,5220000000.0
0.213,4270000000.0
0.219,6190000000.0
0.223,5250000000.0
0.226,3700000000.0
0.233,5890000000.0
0.236,3720000000.0
0.24,3140000000.0
0.243,3440000000.0
0.246,3420000000.0
0.25,2230000000.0
0.253,5420000000.0
0.256,4890000000.0
0.26,4850000000.0
0.263,5040000000.0
0.267,4380000000.0
0.27,4870000000.0
0.273,3530000000.0
0.277,2810000000.0
0.28,4720000000.0
0.284,3380000000.0
0.287,3100000000.0
0.29,3900000000.0
0.294,3520000000.0
0.297,2710000000.0
0.3,3090000000.0
0.304,3070000000.0
0.307,4350000000.0
0.311,3290000000.0
0.314,3340000000.0
0.317,4590000000.0
0.321,3290000000.0
0.324,3030000000.0
0.327,2170000000.0
0.331,2790000000.0
0.334,994000000.0
0.341,2880000000.0
0.344,2940000000.0
0.348,3450000000.0
0.351,2830000000.0
0.354,2780000000.0
0.358,3950000000.0
0.361,6370000000.0
0.365,6310000000.0
0.368,6090000000.0
0.371,6650000000.0
0.375,6440000000.0
0.378,4770000000.0
0.381,3930000000.0
0.385,2950000000.0
0.388,4660000000.0
0.392,4350000000.0
0.395,3700000000.0
0.398,3300000000.0
0.402,3780000000.0
0.405,4380000000.0
0.408,2860000000.0
