Time [s],Intensity [W/sr]
-0.699,-726000000.0
-0.695,-472000000.0
-0.692,-815000000.0
-0.689,-56000000.0
-0.685,-2550000000.0
-0.682,-214000000.0
-0.678,629000000.0
-0.675,-60600000.0
-0.672,339000000.0
-0.668,244000000.0
-0.665,-510000000.0
-0.662,-53400000.0
-0.658,-84000000.0
-0.655,805000000.0
-0.651,344000000.0
-0.648,409000000.0
-0.645,-856000000.0
-0.641,337000000.0
-0.638,3300000000.0
-0.635,1530000000.0
-0.631,1560000000.0
-0.628,926000000.0
-0.624,1460000000.0
-0.621,-1000000000.0
-0.618,1110000000.0
-0.611,-54200000.0
-0.608,335000000.0
-0.604,-30100000.0
-0.601,-759000000.0
-0.594,1240000000.0
-0.591,1080000000.0
-0.587,337000000.0
-0.584,967000000.0
-0.581,360000000.0
-0.57,881000000.0
-0.567,4020000000.0
-0.564,1230000000.0
-0.56,1320000000.0
-0.554,2280000000.0
-0.55,117000000.0
-0.547,448000000.0
-0.543,1470000000.0
-0.54,614000000.0
-0.537,1580000000.0
-0.53,424000000.0
-0.527,1690000000.0
-0.523,614000000.0
-0.52,2700000000.0
-0.516,341000000.0
-0.513,-1300000000.0
-0.51,1550000000.0
-0.506,162000000.0
-0.503,1810000000.0
-0.5,102000000.0
-0.496,2630000000.0
-0.493,158000000.0
-0.489,2150000000.0
-0.486,642000000.0
-0.483,-334000000.0
-0.479,462000000.0
-0.476,1960000000.0
-0.473,383000000.0
-0.469,168000000.0
-0.466,582000000.0
-0.462,298000000.0
-0.459,-576000000.0
-0.452,465000000.0
-0.446,-764000000.0
-0.442,1320000000.0
-0.439,2060000000.0
-0.435,31300000.0
-0.432,147000000.0
-0.429,1680000000.0
-0.425,1640000000.0
-0.422,2730000000.0
-0.415,851000000.0
-0.412,1120000000.0
-0.408,-413000000.0
-0.405,61500000.0
-0.402,1460000000.0
-0.398,1630000000.0
-0.395,226000000.0
-0.392,-672000000.0
-0.388,74100000.0
-0.385,1660000000.0
-0.381,-578000000.0
-0.378,226000000.0
-0.375,-193000000.0
-0.371,921000000.0
-0.368,403000000.0
-0.365,1450000000.0
-0.361,160000000.0
-0.348,673000000.0
-0.344,-508000000.0
-0.341,404000000.0
-0.338,508000000.0
-0.334,-66800000.0
-0.331,2490000000.0
-0.327,39900000.0
-0.324,-362000000.0
-0.321,557000000.0
-0.317,-201000000.0
-0.311,1710000000.0
-0.304,356000000.0
-0.3,1750000000.0
-0.297,1890000000.0
-0.294,-141000000.0
-0.29,-396000000.0
-0.287,1330000000.0
-0.284,1920000000.0
-0.277,406000000.0
-0.273,2100000000.0
-0.27,-174000000.0
-0.267,-449000000.0
-0.263,947000000.0
-0.257,-71700000.0
-0.25,1010000000.0
-0.246,1330000000.0
-0.243,2370000000.0
-0.24,1750000000.0
-0.236,419000000.0
-0.233,1210000000.0
-0.23,-165000000.0
-0.226,1960000000.0
-0.223,1050000000.0
-0.219,2930000000.0
-0.216,151000000.0
-0.213,2760000000.0
-0.209,1510000000.0
-0.206,3030000000.0
-0.203,1310000000.0
-0.199,2200000000.0
-0.196,3540000000.0
-0.192,1120000000.0
-0.189,3330000000.0
-0.186,632000000.0
-0.182,-99800000.0
-0.176,4630000000.0
-0.172,507000000.0
-0.165,1460000000.0
-0.162,1230000000.0
-0.159,2460000000.0
-0.155,4430000000.0
-0.152,5150000000.0
-0.149,1240000000.0
-0.145,4270000000.0
-0.142,3900000000.0
-0.135,2330000000.0
-0.132,825000000.0
-0.128,2060000000.0
-0.125,5310000000.0
-0.122,2460000000.0
-0.118,2800000000.0
-0.115,4110000000.0
-0.111,2790000000.0
-0.108,2660000000.0
-0.105,4920000000.0
-0.098,3930000000.0
-0.095,3570000000.0
-0.088,3780000000.0
-0.084,3920000000.0
-0.081,2200000000.0
-0.078,3520000000.0
-0.074,1870000000.0
-0.071,1770000000.0
-0.068,3420000000.0
-0.064,3740000000.0
-0.061,6330000000.0
-0.057,5350000000.0
-0.054,2900000000.0
-0.051,4730000000.0
-0.044,3990000000.0
-0.041,6140000000.0
-0.037,5780000000.0
-0.034,5900000000.0
-0.03,5220000000.0
-0.024,5280000000.0
-0.02,4740000000.0
-0.017,4910000000.0
-0.014,6830000000.0
-0.01,5180000000.0
