Time [s],Intensity [W/sr]
-1.097,-150000000.0
-1.093,3040000000.0
-1.09,4660000000.0
-1.087,2590000000.0
-1.083,5510000000.0
-1.08,5850000000.0
-1.077,1790000000.0
-1.073,1310000000.0
-1.07,3020000000.0
-1.067,-734000000.0
-1.063,-196000000.0
-1.06,-1840000000.0
-1.056,2130000000.0
-1.053,1620000000.0
-1.05,2430000000.0
-1.046,-8570000.0
-1.043,165000000.0
-1.04,-1940000000.0
-1.036,-1920000000.0
-1.033,-2400000000.0
-1.029,116000000.0
-1.026,-2690000000.0
-1.023,-4430000000.0
-1.016,1870000000.0
-1.012,-232000000.0
-1.009,551000000.0
-1.002,-1050000000.0
-0.999,3560000000.0
-0.996,3060000000.0
-0.992,-1590000000.0
-0.989,2630000000.0
-0.985,3630000000.0
-0.982,1940000000.0
-0.979,4490000000.0
-0.975,1500000000.0
-0.972,1170000000.0
-0.969,-732000000.0
-0.965,785000000.0
-0.962,3530000000.0
-0.959,1430000000.0
-0.955,2390000000.0
-0.952,6230000000.0
-0.948,941000000.0
-0.945,467000000.0
-0.942,1900000000.0
-0.935,-795000000.0
-0.928,-6020000000.0
-0.921,2690000000.0
-0.918,-3120000000.0
-0.915,-2670000000.0
-0.911,2310000000.0
-0.908,3300000000.0
-0.904,1190000000.0
-0.901,1520000000.0
-0.898,4880000000.0
-0.894,1130000000.0
-0.891,-1090000000.0
-0.888,80600000.0
-0.884,3470000000.0
-0.881,1590000000.0
-0.877,4040000000.0
-0.874,3300000000.0
-0.871,-2380000000.0
-0.867,131000000.0
-0.864,75300000.0
-0.861,3580000000.0
-0.851,2080000000.0
-0.847,-353000000.0
-0.844,3700000000.0
-0.84,2430000000.0
-0.837,3790000000.0
-0.834,3070000000.0
-0.83,266000000.0
-0.827,-773000000.0
-0.824,916000000.0
-0.82,6030000000.0
-0.817,6850000000.0
-0.813,3670000000.0
-0.81,2410000000.0
-0.807,2820000000.0
-0.803,-267000000.0
-0.8,4590000000.0
-0.796,5220000000.0
-0.793,2250000000.0
-0.79,1580000000.0
-0.786,1260000000.0
-0.783,6650000000.0
-0.78,6460000000.0
-0.776,3400000000.0
-0.773,7260000000.0
-0.766,-1950000000.0
-0.763,2270000000.0
-0.759,-224000000.0
-0.756,-669000000.0
-0.753,976000000.0
-0.749,3510000000.0
-0.746,3750000000.0
-0.743,2730000000.0
-0.739,-481000000.0
-0.736,1400000000.0
-0.732,7670000000.0
-0.729,3210000000.0
-0.726,3610000000.0
-0.719,3680000000.0
-0.716,1080000000.0
-0.712,-568000000.0
-0.709,2990000000.0
-0.705,-1120000000.0
-0.699,-1930000000.0
-0.695,2090000000.0
-0.692,2130000000.0
-0.688,3350000000.0
-0.685,1700000000.0
-0.682,-925000000.0
-0.678,4270000000.0
-0.672,-1430000000.0
-0.668,8910000.0
-0.665,2300000000.0
-0.661,-2110000000.0
-0.658,-1850000000.0
-0.655,-1050000000.0
