Time [s],Intensity [W/sr],Altitude [km],Latitude [deg],Longitude [deg]
-0.263,-519000000.0,42.67250119227266,35.695829245007474,-31.6308247621686
-0.26,-117000000.0,42.615100933976365,35.69586059459227,-31.63134225574487
-0.256,1750000000.0,42.53856725624795,35.695902390593375,-31.63203224781276
-0.253,-1360000000.0,42.481166997951654,35.695933735010236,-31.632549742338284
-0.25,514000000.0,42.42376673965534,35.69596507721227,-31.63306723727061
-0.246,-611000000.0,42.34723306192694,35.696006863369675,-31.633757231146433
-0.243,-43800000.0,42.28983280363063,35.69603820040375,-31.634274727027815
-0.24,-397000000.0,42.23243254533433,35.696069535222975,-31.634792223315884
-0.236,-977000000.0,42.15589886760592,35.696111311536626,-31.635482218999215
-0.233,-925000000.0,42.09849860930962,35.69614264118787,-31.635999716236114
-0.229,1620000000.0,42.021964931581216,35.696184410610854,-31.636689713184467
-0.226,-1240000000.0,41.96456467328491,35.69621573509407,-31.637207211370054
-0.223,307000000.0,41.90716441498861,35.696247057362434,-31.637724709962185
-0.219,328000000.0,41.8306307372602,35.69628881694154,-31.638414708717335
-0.216,44200000.0,41.773230478963896,35.696320134041855,-31.638932208257927
-0.213,824000000.0,41.71583022066759,35.696351448927274,-31.63944970820495
-0.209,2300000000.0,41.639296542939185,35.696393198662456,-31.640139708766526
-0.206,194000000.0,41.58189628464289,35.6964245083798,-31.640657209661782
-0.202,-261000000.0,41.50536260691448,35.696466251224194,-31.641347211487584
-0.199,-523000000.0,41.44796234861818,35.696497555773426,-31.64186471333096
-0.196,-1980000000.0,41.390562090321865,35.69652885810777,-31.642382215580596
-0.192,-1170000000.0,41.314028412593466,35.69657059110811,-31.643072219212087
-0.189,1240000000.0,41.256628154297154,35.69660188827431,-31.643589722409615
-0.186,-787000000.0,41.199227896000856,35.696633183225565,-31.644107226013347
-0.182,565000000.0,41.12269421827245,35.69667490638182,-31.6447972314501
-0.179,164000000.0,41.065293959976145,35.69670619616492,-31.645314736001495
-0.175,-1100000000.0,40.98876028224774,35.696747912430254,-31.646004742701706
-0.172,775000000.0,40.931360023951434,35.69677919704515,-31.646522248200597
-0.169,-64200000.0,40.87395976565514,35.69681047944512,-31.64703975410552
-0.165,-391000000.0,40.79742608792672,35.69685218586625,-31.64772976261031
-0.162,2000000000.0,40.740025829630426,35.69688346309797,-31.6482472694625
-0.159,2740000000.0,40.682625571334114,35.69691473811474,-31.648764776720668
-0.155,1010000000.0,40.606091893605715,35.69695643469159,-31.64945478702961
-0.152,973000000.0,40.5486916353094,35.69698770454009,-31.649972295234846
-0.148,-31500000.0,40.472157957581004,35.697029394225915,-31.650662306806453
-0.145,243000.0,40.41475769928469,35.69706065890613,-31.651179815958585
-0.142,-283000000.0,40.357357440988395,35.69709192137138,-31.651697325516523
-0.138,-202000000.0,40.28082376325999,35.69713360121281,-31.6523873388916
-0.135,1440000000.0,40.223423504963684,35.69716485850973,-31.652904849396236
-0.132,1730000000.0,40.16602324666738,35.69719611359164,-31.653422360306536
-0.128,-1800000000.0,40.08948956893897,35.69723778358863,-31.654112375484658
-0.125,-710000000.0,40.03208931064267,35.6972690335022,-31.654629887341457
-0.121,1310000000.0,39.95555563291426,35.69731069660804,-31.655319903781447
-0.118,1340000000.0,39.89815537461796,35.697341941353244,-31.655837416584575
-0.115,-183000000.0,39.84075511632165,35.69737318388341,-31.656354929793252
-0.111,-339000000.0,39.764221438593246,35.697414837144684,-31.657044948035576
-0.108,1300000000.0,39.70682118029695,35.69744607450645,-31.657562462190356
-0.105,309000000.0,39.649420922000644,35.69747730965317,-31.65807997675057
-0.101,105000000.0,39.57288724427224,35.697518953069846,-31.65876999679483
-0.098,1070000000.0,39.51548698597593,35.69755018304812,-31.65928751230095
-0.095,-665000000.0,39.45808672767963,35.697581410811345,-31.65980502821239
-0.091,402000000.0,39.38155304995122,35.69762304438334,-31.66049505005816
-0.088,-1350000000.0,39.32415279165492,35.697654266978084,-31.661012566915304
-0.084,2280000000.0,39.24761911392651,35.69769589365877,-31.66170259002186
